adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,"{'id': 114915, 'name': 'Xtro Collection', 'poster_path': '/q7nOlgGzUxX85q45pshEaU65P2A.jpg', 'backdrop_path': None}",0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]",,25834,tt0086610,en,Xtro,"Tony's father Sam, abducted by aliens three years earlier, returns to earth and seeks out his wife and son, but Rachel has since been living with Joe and the reunion is awkward. Joe doesn't trust Sam, and Rachel can't quite decide what her feelings are for her two men. Sam is not the same as when he left, and he begins affecting Tony in frightening ways.",3.267125,/y8b28XoUDqk5RvQMcwavJzJ5aPG.jpg,"[{'name': 'Amalgamated Film Enterprises', 'id': 24257}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1982-12-06,0.0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some extra-terrestrials aren't friendly.,Xtro,False,5.4,37.0
False,,0,[],,198044,tt0065703,de,Erste Liebe,"Based on Ivan Turgenev's novella, Erste Liebe is about two young lovers in czarist Russia. One is a 21-year-old woman, the other a young man of sixteen. Things take a tragic turn as the girl (Dominique Sanda as Sanaida) falls in love with the boy's father (Maximilian Schell). This film was nominated for Best Foreign Language Film in 1970's Academy Awards.",0.193574,/oEnzObBGG3VQzOZeTVm63sDTdJk.jpg,[],"[{'iso_3166_1': 'CH', 'name': 'Switzerland'}]",1970-10-07,0.0,89.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,First Love,False,6.0,2.0
False,,0,"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}]",,194498,tt0358284,en,The White Darkness,A documentary about voodoo in modern-day Haiti.,0.143995,/x2SFJIk45d3Dkf0X2FE9EehEdhw.jpg,"[{'name': 'Shadow Theatre Films', 'id': 6282}, {'name': 'Aimimage Productions', 'id': 21629}]",[],2002-09-07,0.0,48.0,[],Released,,The White Darkness,False,6.3,4.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",http://www.sommervormbalkon.de/,410,tt0477877,de,Sommer vorm Balkon,When you read the title ‘Summer on the Balcony’ you probably think it will be a light Berlin summer comedy but it’s not. This film is an intimate study of two women friends who come to each other because of troubles with everyday life and with men and thus try to enjoy a life based on their ideas.,1.11126,/hJR2yhAMywVwguGr9JJqZDNGMgH.jpg,"[{'name': 'Peter Rommel Productions', 'id': 166}, {'name': 'X-Filme Creative Pool', 'id': 1972}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2005-09-09,0.0,105.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Summer in Berlin,False,6.7,12.0
False,,50000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",http://movies.disney.com/the-shaggy-dog-2006,10067,tt0393735,en,The Shaggy Dog,The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.,4.878907,/7Ptc3QwmDtmeCp5NW87unOQB2ZN.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Mandeville Films', 'id': 10227}, {'name': 'Boxing Cat Films', 'id': 12626}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-03-09,61112916.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's going to be a ruff day.,The Shaggy Dog,False,4.5,138.0
False,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}]",http://www.arayafilm.com/,89688,tt0051372,es,Araya,"""Araya"" is an old natural salt mine located in a peninsula in northeastern Venezuela which was still, by 1959, being exploited manually five hundred years after its discovery by the Spanish. Margot Benacerraf captures in images, the life of the ""salineros"" and their archaic methods of work before their definite disappearance with the arrival of the industrial exploitation.",0.418088,/2GsvqpdhvHIkDJxkE3T3MBnkui5.jpg,"[{'name': ""Films de l'Archer"", 'id': 71087}, {'name': 'Caroni Films C.A.', 'id': 71088}]","[{'iso_3166_1': 'VE', 'name': 'Venezuela'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1959-08-31,0.0,90.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Araya,False,6.9,6.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,83036,tt0127319,en,Titanic Town,"Belfast 1972: The politically naive Bernie is trying to bring up a normal family in less than normal surroundings. Her best friend is accidentally shot dead by the IRA, and her neighbours are constantly raided by the army. In this climate of fear she stands up and condemns the murders. Criticising both factions, her call for a ceasefire is interpreted as an attack against the IRA, and as her peace movement takes momentum, she and her family are placed in the frontline.",0.002534,/zfx8YMEG3sR9t4rKYgOD3O0FoPN.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1998-08-08,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Titanic Town,False,0.0,0.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,137504,tt0045507,ja,あにいもうと,"The eldest daughter of a rural family Mon returns home from Tokyo pregnant after an affair with a college student Kobata, which causes a scandal that will threaten the marriage prospects of the younger sister San, in her cash-strapped family. The ill-tempered eldest brother Inokichi decides to take on the role of disciplinarian, with harrowing results.",0.458318,/ujHC6VsSBJIHCGYxpzQZGEgGxG4.jpg,"[{'name': 'Daiei Tokyo Daini', 'id': 66913}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1953-08-19,0.0,86.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,"Older Brother, Younger Sister",False,0.0,0.0
False,"{'id': 159600, 'name': 'House Party Collection', 'poster_path': '/hwaQA1SEoiWsacESz0IMaDQ3vVV.jpg', 'backdrop_path': None}",0,"[{'id': 35, 'name': 'Comedy'}]",,16097,tt0110064,en,House Party 3,"Hip Hop duo Kid &amp; Play return in the second follow-up to their 1990 screen debut House Party. Kid (Christopher ""Kid"" Reid) is taking the plunge and marrying his girlfriend Veda (Angela Means), while his friend Play (Christopher Martin) is dipping his toes into the music business, managing a roughneck female rap act called Sex as a Weapon. Play books the ladies for a concert with heavy-hitting pr",0.996047,/b6yh57uYZUvpYkH3RKL3ZIvoszl.jpg,[],[],1994-01-01,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,This bachelor party's gonna' bring down the house!,House Party 3,False,4.6,11.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,131907,tt0268261,es,No somos nadie,"Two Spanish pan-handlers soon find themselves in over their heads when they stumble upon an opportunity to redeem themselves and perhaps the entire planet. The world appears to suffer from rampant poverty, violence and spiritual desperation and the relentless news media force-feeds these images to the Spanish people. A popular reality television show lets the audience decide between life or death for suspected felons, and one of the opportunistic pan-handlers attempts to escape poverty through this raucous and sensational TV program.",0.167703,/fbT2FJE8hNuz6rc2c3fQwGIw15W.jpg,[],"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2002-01-01,0.0,91.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,God is on Air,False,10.0,1.0
False,,750000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,47880,tt0421229,en,Mrs Palfrey at The Claremont,"All but abandoned by her family in a London retirement hotel, an elderly woman strikes up a curious friendship with a young writer.",2.6982,/tsMSRVJgrmO4eBO7WXpU8bJOBY.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2005-11-25,1720953.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"If you enjoyed Ladies in Lavender, you'll adore Mrs. Palfrey!!!",Mrs Palfrey at The Claremont,False,6.8,10.0
False,,4000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,60422,tt1719071,en,Another Happy Day,A wedding at her parents' Annapolis estate hurls high-strung Lynn into the center of touchy family dynamics.,3.496577,/aS9OSXIfOj6HSfKVR4fDGf6cIZF.jpg,"[{'name': 'Filmula', 'id': 8872}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-11-18,355688.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,"At this wedding, the F-word stands for Family",Another Happy Day,False,6.2,37.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,64868,tt0054944,en,Greyfriars Bobby: The True Story of a Dog,"In Scotland 1865, An old shepherd and his little Skye terrier go to Edinburgh. But when the shepherd dies of pneumonia, the dog remains faithful to his master, refuses to be adopted by anyone, and takes to sleeping on his master's grave in the Greyfriars kirkyard, despite a caretaker with a ""no dogs"" rule. And when Bobby is taken up for being unlicensed, it's up to the children of Edinburgh and the Lord Provost to decide what's to be done.",0.881457,/llkgVitkTZMr9nhN4mAG1g8eEX7.jpg,"[{'name': 'Walt Disney Productions', 'id': 3166}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1961-07-17,0.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The true story of a dog,Greyfriars Bobby: The True Story of a Dog,False,6.8,13.0
False,,0,[],,386743,tt5285442,en,Mosquinha,Shot of the flight of a fly.,0.071756,/gcEp2B7leQy60grWD9Nee57HCxi.jpg,[],[],1890-03-09,0.0,1.0,[],Released,,Mosquinha,False,6.5,2.0
False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,47802,tt0105411,en,Simple Men,"Bitter about being double-crossed by the women he loved, (and with the police after him to boot), Bill vows to seduce the next woman he sees, then throw her away. His brother Dennis, meanwhile, is equally determined to track down their long lost father, a revolutionary who has been in hiding for 20 years. For different reasons, both leave New York and head for Long Island, out of money, and short on ideas. D:""Long Island is a a terminal moraine."" B:""What's that?"" D:""It's the material left behind when a glacier recedes."" D:""Gee, then what the hell are we waiting for?""D: ""She's a bit jumpy..."" B: ""Jumpy women are great!""",1.595591,/odJLyJCmlsWn3rndQUCtcwYlT8c.jpg,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-10-14,0.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They're good boys with bad attitude!,Simple Men,False,7.1,12.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,96552,tt0882800,en,Pretpark Nederland,Michiel van Erp shows us what the Dutch do in their spare time and takes a look at the industry behind all these leisure activities.,0.007849,/Awu39NrWVPHwPZFZNBUN9UV3Uvc.jpg,"[{'name': 'Nederlandse Programma Stichting (NPS)', 'id': 12023}, {'name': 'De Familie', 'id': 41816}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",2006-10-18,0.0,90.0,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,A fun fair behind the dikes,Pretpark Nederland,False,0.0,0.0
False,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,174769,tt0039659,en,Night Song,A socialite (Merle Oberon) pretends to be poor and blind in her plan to help a blinded pianist (Dana Andrews).,0.081672,/9TlmJxk12AVvVY5NgboaKa0mK7l.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}, {'name': 'John Cromwell Productions', 'id': 68391}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-11-10,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Night Song,False,6.0,1.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,39056,tt0269856,ja,式日,"A disillusioned filmmaker has an encounter with a young girl who has a ritual of repeating ""Tomorrow is my birthday"" everyday. He tries to communicate with her through his video camera.",0.606866,/6varOqOJ8I4DfYygnhpOpYlKaRj.jpg,"[{'name': 'Tokuma Shoten', 'id': 1779}, {'name': 'Studio Kajino Company', 'id': 73443}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2000-12-07,0.0,128.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Ritual,False,7.5,11.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,13352,tt0329737,en,It's a Very Merry Muppet Christmas Movie,"The owner of a bank (Miss Bitterman) wants to own the Muppet Theatre so she can build a nightclub over it. After she tricks Pepe into giving her the only copy of the contract between her father and the Muppets, she changes it so the Muppets have very little time to pay a debt they owe. Meanwhile, the Muppets are trying to put on a Christmas show. After the Muppets are confronted by Bitterman, they make a lot of sacrifices to save up so they can keep the Theatre.",1.991539,/yUWnJnoVKJgD8rLfQizwQXCtd2A.jpg,"[{'name': 'National Broadcasting Company', 'id': 1392}, {'name': 'Jim Henson Productions', 'id': 2504}, {'name': 'Jim Henson Company, The', 'id': 6254}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-11-29,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,It's a Very Merry Muppet Christmas Movie,False,5.4,15.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,28666,tt0217894,en,The Woman Chaser,A 1950s used-car salesman (Patrick Warburton) wants to make a low-budget film about a trucker who accidentally runs down a child.,0.531492,/4eh7ib9nZH1NoYEQhdTrF6vS05y.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-10-08,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Woman Chaser,False,4.9,4.0
False,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}]",,14704,tt0419704,es,Donkey Xote,"The donkey, Rucio, tells the true story of Don Quixote and defends the idea that he wasn't insane, but a very intelligent, passionate and enthusiastic fellow.",1.782024,/eyOLQ5Uzb9vIbCPLYr4WqncWVZW.jpg,"[{'name': 'Scanbox', 'id': 8992}, {'name': 'Lumiq Studios', 'id': 13206}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",2007-12-05,0.0,90.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Donkey X,False,4.8,14.0
False,,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",http://whatjusthappenedfilm.com/,8944,tt0486674,en,What Just Happened,"During the course of an ordinary week in Hollywood, movie producer Ben (Robert De Niro) must navigate his way through shark-infested waters as he struggles to complete his latest projects. A demanding studio boss (Catherine Keener) demands extensive changes to a movie starring Sean Penn, while another chief won't greenlight a project unless star Bruce Willis shaves his beard. Meanwhile, Ben tries to reconcile with his wife and maintain a relationship with his young daughter.",10.510245,/hr5oELD0PJxnRGAFsWT22uFtcyP.jpg,"[{'name': '2929 Productions', 'id': 846}, {'name': 'Linson Entertainment', 'id': 4700}, {'name': 'Art Linson Productions', 'id': 8769}, {'name': 'Tribeca Productions', 'id': 11391}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-10-17,6673422.0,104.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}]",Released,Admit nothing.,What Just Happened,False,5.2,128.0
False,"{'id': 24717, 'name': 'Johan Falk GSI Collection', 'poster_path': '/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg', 'backdrop_path': '/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,133879,tt2239100,sv,Johan Falk: Spelets regler,It's been two years since John Falk and Frank Wagner broke their cooperation and Frank started working undercover with the police. Frank's search for Kevin crosses Johan's investigation and opens up a new collaboration between them - with the big difference being that this time it's personal for Frank.,0.929547,/nGamRMrfktfPmhYxMweFutuSkDm.jpg,"[{'name': 'Nordisk Film', 'id': 235}, {'name': 'Strix Drama AB', 'id': 10910}]","[{'iso_3166_1': 'SE', 'name': 'Sweden'}]",2012-09-25,0.0,99.0,"[{'iso_639_1': 'sv', 'name': 'svenska'}]",Released,,Johan Falk: Spelets regler,False,6.7,10.0
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,42455,tt0069715,es,And Now The Screaming Starts,"In the late 18th century, two newlyweds move into the stately mansion of husband Charles Fengriffen. The bride, Catherine, falls victim to a curse placed by a wronged servant on the Fengriffen family and all its descendants.",3.673082,/4AeeGRvjuDA1MkWClNpXCqzf7e1.jpg,"[{'name': 'Amicus Productions', 'id': 4630}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1973-04-26,0.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A Technicolor film set in a ghostly gothic manor house, England 1785.",And Now The Screaming Starts,False,6.4,12.0
False,,40000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",,334298,tt3781476,zh,捉妖记,Young monster kids try to make peace between the world of humans and the world of the monsters.,5.361771,/v6fLYRKyp8YtkdtdGpPotUuE6CT.jpg,"[{'name': 'Edko Films', 'id': 10284}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2015-07-16,385284817.0,111.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,,Monster Hunt,False,5.7,81.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,26347,tt0360845,fr,Notre musique,"Jean-Luc Godard's poetic meditation on war, violence and defeat. The film is structured in three parts. The three segments are ""Hell"", ""Purgatory"", and ""Heaven"". The first segment is a montage of war images from documentary and fictional sources. The second concerns two young Jewish women attending a European arts conference in Sarajevo. The final segment concerns the after life.",0.512308,/qYuECBeoVGKogIlNAp2OEkbawWs.jpg,"[{'name': 'Avventura Films', 'id': 4491}, {'name': 'P%C3%A9riph%C3%A9ria', 'id': 4492}, {'name': 'Télévision Suisse Romande', 'id': 4493}]","[{'iso_3166_1': 'CH', 'name': 'Switzerland'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2004-05-19,0.0,80.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'sh', 'name': ''}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,Our Music,False,6.2,12.0
False,,0,[],,59828,tt0039531,en,Killer McCoy,A lightweight boxer gets mixed up in murder.,0.001336,/zg7D681HnBsL91G5qFieUjynZuo.jpg,[],[],1947-12-01,0.0,104.0,[],Released,His NEW sensational Role!,Killer McCoy,False,0.0,0.0
False,"{'id': 14740, 'name': 'Madagascar Collection', 'poster_path': '/kjA2VkYx929rPKMPFQRb0lPqY3w.jpg', 'backdrop_path': '/lzTIAbvMeGWB7PUrmBZXulGA28M.jpg'}",132000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",,270946,tt1911658,en,Penguins of Madagascar,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",22.201607,/pRer59eyY4rjkLPeKXKo7fPxCHH.jpg,"[{'name': 'DreamWorks Animation', 'id': 521}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-11-22,373552094.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Movie Event That Will Blow Their Cover,Penguins of Madagascar,False,6.5,1375.0
